CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,691,1,4.0,1,1,4,114,Others
12347,368,7,4.0,4,4,4,444,Champion
12348,441,4,4.0,2,3,4,234,At Risk
12349,384,1,4.0,3,1,4,314,Others
12350,676,1,2.0,1,1,2,112,Lost
12352,402,8,4.0,3,4,4,344,Champion
12353,570,1,1.0,1,1,1,111,Lost
12354,598,1,3.0,1,1,3,113,Others
12355,580,1,2.0,1,1,2,112,Lost
12356,388,3,4.0,3,3,4,334,Potential Loyalist
12357,399,1,4.0,3,1,4,314,Others
12358,367,2,3.0,4,2,3,423,Others
12359,423,4,4.0,2,3,4,234,At Risk
12360,418,3,4.0,2,3,4,234,At Risk
12361,653,1,1.0,1,1,1,111,Lost
12362,369,10,4.0,4,4,4,444,Champion
12363,475,2,2.0,2,2,2,222,Others
12364,373,4,3.0,4,3,3,433,Champion
12365,657,2,2.0,1,2,2,122,Lost
12367,370,1,1.0,4,1,1,411,New Customer
12370,417,4,4.0,2,3,4,234,At Risk
12371,410,2,4.0,3,2,4,324,Potential Loyalist
12372,437,3,3.0,2,3,3,233,At Risk
12373,677,1,2.0,1,1,2,112,Lost
12374,391,1,3.0,3,1,3,313,Others
12375,376,2,2.0,4,2,2,422,Others
12377,681,2,3.0,1,2,3,123,Others
12378,495,1,4.0,2,1,4,214,Others
12379,447,2,3.0,2,2,3,223,Others
12380,387,4,4.0,3,3,4,334,Potential Loyalist
12381,370,5,4.0,4,3,4,434,Champion
12383,550,5,4.0,1,3,4,134,Others
12384,394,2,2.0,3,2,2,322,Others
12386,703,2,2.0,1,2,2,122,Lost
12388,381,6,4.0,4,4,4,444,Champion
12390,445,1,2.0,2,1,2,212,Lost
12391,387,1,2.0,3,1,2,312,New Customer
12393,438,4,3.0,2,3,3,233,At Risk
12394,429,2,3.0,2,2,3,223,Others
12395,385,12,4.0,3,4,4,344,Champion
12397,401,2,4.0,3,2,4,324,Potential Loyalist
12398,411,1,3.0,3,1,3,313,Others
12399,485,4,3.0,2,3,3,233,At Risk
12401,669,1,1.0,1,1,1,111,Lost
12402,689,1,1.0,1,1,1,111,Lost
12403,415,1,2.0,3,1,2,312,New Customer
12405,514,1,4.0,1,1,4,114,Others
12406,388,2,4.0,3,2,4,324,Potential Loyalist
12407,415,5,4.0,3,3,4,334,Potential Loyalist
12408,398,5,4.0,3,3,4,334,Potential Loyalist
12409,444,3,4.0,2,3,4,234,At Risk
12410,674,2,3.0,1,2,3,123,Others
12412,440,3,3.0,2,3,3,233,At Risk
12413,432,3,3.0,2,3,3,233,At Risk
12414,583,3,2.0,1,3,2,132,Others
12415,390,21,4.0,3,4,4,344,Champion
12417,369,9,4.0,4,4,4,444,Champion
12418,478,1,2.0,2,1,2,212,Lost
12420,429,1,2.0,2,1,2,212,Lost
12421,381,4,3.0,4,3,3,433,Champion
12422,461,3,3.0,2,3,3,233,At Risk
12423,366,8,4.0,4,4,4,444,Champion
12424,528,2,4.0,1,2,4,124,Others
12425,444,1,3.0,2,1,3,213,Others
12426,560,1,2.0,1,1,2,112,Lost
12427,387,3,3.0,3,3,3,333,Potential Loyalist
12428,391,9,4.0,3,4,4,344,Champion
12429,375,4,4.0,4,3,4,434,Champion
12430,409,1,1.0,3,1,1,311,New Customer
12431,401,15,4.0,3,4,4,344,Champion
12432,408,5,4.0,3,3,4,334,Potential Loyalist
12433,366,7,4.0,4,4,4,444,Champion
12434,450,2,3.0,2,2,3,223,Others
12435,445,2,4.0,2,2,4,224,Others
12436,465,1,2.0,2,1,2,212,Lost
12437,367,18,4.0,4,4,4,444,Champion
12438,380,2,4.0,4,2,4,424,Others
12441,732,1,1.0,1,1,1,111,Lost
12442,369,1,1.0,4,1,1,411,New Customer
12444,387,5,4.0,3,3,4,334,Potential Loyalist
12445,388,1,1.0,3,1,1,311,New Customer
12446,423,1,3.0,2,1,3,213,Others
12447,609,1,2.0,1,1,2,112,Lost
12448,410,1,2.0,3,1,2,312,New Customer
12449,388,4,4.0,3,3,4,334,Potential Loyalist
12450,522,2,1.0,1,2,1,121,Lost
12451,376,5,4.0,4,3,4,434,Champion
12452,382,2,2.0,4,2,2,422,Others
12453,500,1,3.0,2,1,3,213,Others
12454,422,1,4.0,2,1,4,214,Others
12455,439,6,4.0,2,4,4,244,At Risk
12456,410,3,4.0,3,3,4,334,Potential Loyalist
12457,432,7,4.0,2,4,4,244,At Risk
12458,437,2,3.0,2,2,3,223,Others
12461,460,2,3.0,2,2,3,223,Others
12462,384,2,3.0,3,2,3,323,Potential Loyalist
12463,419,4,3.0,2,3,3,233,At Risk
12464,376,8,3.0,4,4,3,443,Champion
12465,383,2,3.0,4,2,3,423,Others
12468,553,2,3.0,1,2,3,123,Others
12471,368,30,4.0,4,4,4,444,Champion
12472,398,7,4.0,3,4,4,344,Champion
12473,395,5,4.0,3,3,4,334,Potential Loyalist
12474,383,18,4.0,4,4,4,444,Champion
12475,419,1,3.0,2,1,3,213,Others
12476,381,11,4.0,4,4,4,444,Champion
12477,388,6,4.0,3,4,4,344,Champion
12478,369,1,3.0,4,1,3,413,Others
12479,377,1,2.0,4,1,2,412,New Customer
12480,394,4,4.0,3,3,4,334,Potential Loyalist
12481,388,10,4.0,3,4,4,344,Champion
12483,383,8,4.0,4,4,4,444,Champion
12484,398,6,4.0,3,4,4,344,Champion
12488,375,3,3.0,4,3,3,433,Champion
12489,702,1,2.0,1,1,2,112,Lost
12490,371,10,4.0,4,4,4,444,Champion
12491,404,1,2.0,3,1,2,312,New Customer
12492,429,2,1.0,2,2,1,221,Others
12493,531,2,2.0,1,2,2,122,Lost
12494,381,7,3.0,4,4,3,443,Champion
12497,447,1,3.0,2,1,3,213,Others
12498,387,3,2.0,3,3,2,332,Potential Loyalist
12500,389,11,4.0,3,4,4,344,Champion
12501,702,1,4.0,1,1,4,114,Others
12502,461,5,4.0,2,3,4,234,At Risk
12504,384,2,2.0,3,2,2,322,Others
12506,598,1,1.0,1,1,1,111,Lost
12507,500,3,3.0,2,3,3,233,At Risk
12508,392,2,2.0,3,2,2,322,Others
12509,650,1,1.0,1,1,1,111,Lost
12510,508,2,3.0,1,2,3,123,Others
12512,432,2,1.0,2,2,1,221,Others
12513,478,1,2.0,2,1,2,212,Lost
12514,633,1,3.0,1,1,3,113,Others
12515,719,1,2.0,1,1,2,112,Lost
12516,443,2,3.0,2,2,3,223,Others
12517,394,5,4.0,3,3,4,334,Potential Loyalist
12518,366,5,4.0,4,3,4,434,Champion
12519,429,1,2.0,2,1,2,212,Lost
12520,445,5,4.0,2,3,4,234,At Risk
12521,508,1,2.0,1,1,2,112,Lost
12522,405,2,1.0,3,2,1,321,Others
12523,385,11,4.0,3,4,4,344,Champion
12524,375,8,4.0,4,4,4,444,Champion
12526,366,3,3.0,4,3,3,433,Champion
12527,447,3,2.0,2,3,2,232,Others
12528,375,6,4.0,4,4,4,444,Champion
12530,425,4,4.0,2,3,4,234,At Risk
12531,380,1,1.0,4,1,1,411,New Customer
12532,396,1,2.0,3,1,2,312,New Customer
12534,496,1,3.0,2,1,3,213,Others
12535,457,2,3.0,2,2,3,223,Others
12536,409,3,4.0,3,3,4,334,Potential Loyalist
12538,395,1,2.0,3,1,2,312,New Customer
12539,388,4,4.0,3,3,4,334,Potential Loyalist
12540,385,17,4.0,3,4,4,344,Champion
12541,395,3,3.0,3,3,3,333,Potential Loyalist
12544,402,1,2.0,3,1,2,312,New Customer
12545,441,2,3.0,2,2,3,223,Others
12546,412,2,3.0,3,2,3,323,Potential Loyalist
12547,563,2,1.0,1,2,1,121,Lost
12548,532,1,1.0,1,1,1,111,Lost
12550,445,1,3.0,2,1,3,213,Others
12551,723,1,1.0,1,1,1,111,Lost
12552,404,2,2.0,3,2,2,322,Others
12553,374,10,4.0,4,4,4,444,Champion
12556,416,2,2.0,3,2,2,322,Others
12557,382,5,4.0,4,3,4,434,Champion
12558,373,1,1.0,4,1,1,411,New Customer
12559,676,2,2.0,1,2,2,122,Lost
12560,371,3,4.0,4,3,4,434,Champion
12561,668,1,1.0,1,1,1,111,Lost
12562,374,7,4.0,4,4,4,444,Champion
12564,627,1,2.0,1,1,2,112,Lost
12565,654,1,1.0,1,1,1,111,Lost
12566,452,1,2.0,2,1,2,212,Lost
12567,388,10,4.0,3,4,4,344,Champion
12569,368,32,4.0,4,4,4,444,Champion
12571,405,2,2.0,3,2,2,322,Others
12572,374,2,3.0,4,2,3,423,Others
12573,593,1,1.0,1,1,1,111,Lost
12574,681,1,1.0,1,1,1,111,Lost
12576,401,5,3.0,3,3,3,333,Potential Loyalist
12577,401,3,2.0,3,3,2,332,Potential Loyalist
12578,387,2,4.0,3,2,4,324,Potential Loyalist
12579,444,1,2.0,2,1,2,212,Lost
12580,612,1,2.0,1,1,2,112,Lost
12581,405,1,1.0,3,1,1,311,New Customer
12582,604,2,2.0,1,2,2,122,Lost
12583,368,15,4.0,4,4,4,444,Champion
12584,369,9,4.0,4,4,4,444,Champion
12585,600,2,4.0,1,2,4,124,Others
12586,383,1,1.0,4,1,1,411,New Customer
12587,373,1,1.0,4,1,1,411,New Customer
12588,405,1,1.0,3,1,1,311,New Customer
12589,394,2,2.0,3,2,2,322,Others
12590,577,2,4.0,1,2,4,124,Others
12591,683,1,2.0,1,1,2,112,Lost
12592,458,2,2.0,2,2,2,222,Others
12593,474,3,2.0,2,3,2,232,Others
12594,403,10,4.0,3,4,4,344,Champion
12596,417,2,2.0,2,2,2,222,Others
12597,385,4,4.0,3,3,4,334,Potential Loyalist
12598,375,8,4.0,4,4,4,444,Champion
12599,395,7,3.0,3,4,3,343,Others
12600,394,10,4.0,3,4,4,344,Champion
12601,555,5,2.0,1,3,2,132,Others
12602,424,1,1.0,2,1,1,211,Lost
12603,387,1,3.0,3,1,3,313,Others
12604,445,2,1.0,2,2,1,221,Others
12607,426,1,3.0,2,1,3,213,Others
12609,444,3,3.0,2,3,3,233,At Risk
12610,388,5,4.0,3,3,4,334,Potential Loyalist
12611,418,1,3.0,2,1,3,213,Others
12612,440,1,3.0,2,1,3,213,Others
12613,423,5,4.0,2,3,4,234,At Risk
12614,643,1,2.0,1,1,2,112,Lost
12615,368,4,4.0,4,3,4,434,Champion
12616,461,2,3.0,2,2,3,223,Others
12617,395,1,2.0,3,1,2,312,New Customer
12618,387,1,1.0,3,1,1,311,New Customer
12619,382,9,4.0,4,4,4,444,Champion
12620,380,3,3.0,4,3,3,433,Champion
12621,367,20,4.0,4,4,4,444,Champion
12622,598,1,1.0,1,1,1,111,Lost
12623,642,1,1.0,1,1,1,111,Lost
